baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Gene.name	Group	gene.group	KEGGFUN	KEGGPATH.PathLv1	KEGGPATH.PathLv2	KEGGPATH.PathLv3	condition	diffabundant
688.4061547	4.303103112	0.249925153	17.21756721	1.96E-66	7.19E-66	APDB	Metabolism of terpenoids and polyketides	apd	cytochrome P450 monooxygenase	Brite Hierarchies	Protein families: metabolism	Polyketide biosynthesis proteins	1_Soil_vs_RhizCom	RhizCom
1084.886394	13.02202872	1.192284071	10.92191788	9.06E-28	2.07E-27	APDC	Metabolism of terpenoids and polyketides	apd	aspyridone synthetase trans-acting enoyl reductase	Brite Hierarchies	Protein families: metabolism	Polyketide biosynthesis proteins	1_Soil_vs_RhizCom	RhizCom
84.32152737	9.336420644	1.258349224	7.419578337	1.17E-13	1.85E-13	APDG	Metabolism of terpenoids and polyketides	apd	acyl-CoA dehydrogenase	Brite Hierarchies	Protein families: metabolism	Polyketide biosynthesis proteins	1_Soil_vs_RhizCom	RhizCom
7668.853234	3.493731108	0.177737963	19.65663974	5.07E-86	2.25E-85	araF	Carbohydrate metabolism and transport	ara	L-arabinose transport system substrate-binding protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
11717.42808	3.173246321	0.138393037	22.92923393	2.37E-116	1.38E-115	araG	Carbohydrate metabolism and transport	ara	L-arabinose transport system ATP-binding protein [EC:3.6.3.17]	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
7810.349047	3.336301157	0.128187229	26.02678263	2.46E-149	1.85E-148	araH	Carbohydrate metabolism and transport	ara	L-arabinose transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
302.9826348	3.033181894	0.303114367	10.00672428	1.42E-23	2.99E-23	artI	Amino acid metabolism and transport	art	arginine transport system substrate-binding protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
291.2428161	6.667403145	0.475081376	14.03423389	9.62E-45	2.83E-44	artM	Amino acid metabolism and transport	art	arginine transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
294.5400865	7.101831699	0.543943319	13.05619805	5.86E-39	1.59E-38	artP	Amino acid metabolism and transport	art	arginine transport system ATP-binding protein [EC:7.4.2.1]	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
287.5490514	11.1063647	1.19918653	9.261582267	2.01E-20	3.94E-20	artQ	Amino acid metabolism and transport	art	arginine transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
19697.10867	4.414686187	0.077223917	57.16734342	0	0	bcsB	Biofilm formation	bsc	cellulose synthase operon protein B	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
11793.73433	2.95345777	0.091227729	32.37456193	6.26E-230	7.81E-229	bcsZ	Biofilm formation	bsc	endoglucanase [EC:3.2.1.4]	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	1_Soil_vs_RhizCom	RhizCom
34720.20377	3.142637797	0.078493395	40.03697143	0	0	benE	Xenobiotics biodegradation and metabolism	ben	benzoate membrane transport protein	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
73.80815384	5.673120022	0.771408693	7.354233982	1.92E-13	3.00E-13	benP	Xenobiotics biodegradation and metabolism	ben	benzoate transport porin	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
4.062921907	4.965453983	1.296383891	3.830234252	0.000128021	0.000145854	blaOXA-2	Antimicrobial resistance genes	bla	beta-lactamase class D OXA-2 [EC:3.5.2.6]	Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes	1_Soil_vs_RhizCom	RhizCom
18.06549234	4.175859372	0.796404713	5.24338857	1.58E-07	1.95E-07	blaOXA-22	Antimicrobial resistance genes	bla	beta-lactamase class D OXA-22 [EC:3.5.2.6]	Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes	1_Soil_vs_RhizCom	RhizCom
129.9203135	8.097192876	1.045189222	7.74710713	9.40E-15	1.55E-14	blaOXA-50	Antimicrobial resistance genes	bla	beta-lactamase class D OXA-50 [EC:3.5.2.6]	Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes	1_Soil_vs_RhizCom	RhizCom
6737.890626	4.205347634	0.394787027	10.65219308	1.70E-26	3.81E-26	catA	Antimicrobial resistance genes	cat	chloramphenicol O-acetyltransferase type A [EC:2.3.1.28]	Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes	1_Soil_vs_RhizCom	RhizCom
6532.575617	2.566414889	0.080921418	31.71490272	9.68E-221	1.14E-219	catB	Antimicrobial resistance genes	cat	chloramphenicol O-acetyltransferase type B [EC:2.3.1.28]	Brite Hierarchies	Protein families: signaling and cellular processes	Antimicrobial resistance genes	1_Soil_vs_RhizCom	RhizCom
77.21375488	9.209690345	1.285676384	7.16330366	7.88E-13	1.20E-12	csgA	Biofilm formation	csg	major curlin subunit	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli 	1_Soil_vs_RhizCom	RhizCom
264.6477729	7.120014302	0.569610848	12.49978706	7.49E-36	1.96E-35	csgB	Biofilm formation	csg	minor curlin subunit	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli 	1_Soil_vs_RhizCom	RhizCom
67.73071201	9.020489505	1.614931305	5.585680008	2.33E-08	2.96E-08	csgC	Biofilm formation	csg	curli production protein	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli 	1_Soil_vs_RhizCom	RhizCom
27224.44158	3.053754847	0.108126334	28.24247093	1.76E-175	1.55E-174	dgoA	Carbohydrate metabolism and transport	dgo	2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]	Metabolism	Carbohydrate metabolism	Galactose metabolism	1_Soil_vs_RhizCom	RhizCom
30012.88482	3.212142429	0.210097124	15.28884531	9.07E-53	2.93E-52	dgoK	Carbohydrate metabolism and transport	dgo	2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]	Metabolism	Carbohydrate metabolism	Galactose metabolism	1_Soil_vs_RhizCom	RhizCom
1357.737354	7.482148802	0.309382896	24.18410615	3.27E-129	2.10E-128	dmpK, poxA	Xenobiotics biodegradation and metabolism	dmp	phenol hydroxylase P0 protein	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation 	1_Soil_vs_RhizCom	RhizCom
3683.011153	5.233133131	0.168541102	31.04959593	1.16E-211	1.28E-210	dmpL, poxC	Xenobiotics biodegradation and metabolism	dmp	Phenol hydroxylase P1 protein	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation 	1_Soil_vs_RhizCom	RhizCom
1419.911039	4.287353583	0.170986651	25.0742006	9.51E-139	6.56E-138	dmpM, poxB	Xenobiotics biodegradation and metabolism	dmp	phenol hydroxylase P2 protein	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation 	1_Soil_vs_RhizCom	RhizCom
5733.634419	3.908193448	0.109716934	35.62069516	6.70E-278	1.08E-276	dmpN, poxD	Xenobiotics biodegradation and metabolism	dmp	phenol hydroxylase P3 protein [EC:1.14.13.-]	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation 	1_Soil_vs_RhizCom	RhizCom
1807.051354	6.253376867	0.205513876	30.42800316	2.34E-203	2.47E-202	dmpO, poxE	Xenobiotics biodegradation and metabolism	dmp	phenol hydroxylase P4 protein	Metabolism	Xenobiotics biodegradation and metabolism	Benzoate degradation 	1_Soil_vs_RhizCom	RhizCom
5015.944498	4.052391017	0.122570445	33.06173054	1.06E-239	1.38E-238	exoF	Biofilm formation	exo	polysaccharide biosynthesis/export protein ExoF	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
1649.756134	10.76799921	0.737487041	14.60093346	2.77E-48	8.50E-48	exoH	Biofilm formation	exo	succinoglycan biosynthesis protein ExoH	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
3582.050036	5.800222403	0.175001185	33.14390367	6.93E-241	9.16E-240	exoK	Biofilm formation	exo	endo-1,3-1,4-beta-glycanase ExoK [EC:3.2.1.-]	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	1_Soil_vs_RhizCom	RhizCom
4978.603119	3.125337607	0.106247214	29.41571337	3.46E-190	3.34E-189	exoL	Biofilm formation	exo	succinoglycan biosynthesis protein ExoL [EC:2.-.-.-]	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases	1_Soil_vs_RhizCom	RhizCom
5054.160475	3.566400043	0.103700412	34.39137762	3.39E-259	4.97E-258	exoQ	Biofilm formation	exo	exopolysaccharide production protein ExoQ	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
2288.254218	5.61090663	0.186307561	30.11636568	2.96E-199	3.03E-198	exoT	Biofilm formation	exo	succinoglycan exporter	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
3625.107261	5.255082775	0.143790469	36.5468088	2.00E-292	3.50E-291	exoV	Biofilm formation	exo	succinoglycan biosynthesis protein ExoV	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
3111.709708	5.253319422	0.161048451	32.61949664	2.17E-233	2.75E-232	exoW	Biofilm formation	exo	succinoglycan biosynthesis protein ExoW [EC:2.4.-.-]	Brite Hierarchies	Protein families: metabolism	Glycosyltransferases	1_Soil_vs_RhizCom	RhizCom
3748.245227	5.202819871	0.180688054	28.79448724	2.51E-182	2.32E-181	exoX	Biofilm formation	exo	exodeoxyribonuclease X [EC:3.1.11.-]	Genetic Information Processing	Replication and repair	Mismatch repair 	1_Soil_vs_RhizCom	RhizCom
559.8479877	12.06757021	1.193527011	10.11084801	4.95E-24	1.05E-23	exoX	Biofilm formation	exo	exopolysaccharide production repressor protein	Not Included in Pathway or Brite	Unclassified: metabolism	Glycan metabolism	1_Soil_vs_RhizCom	RhizCom
3843.332302	6.719149787	0.154278583	43.55205806	0	0	exsA	Biofilm formation	exs	AraC family transcriptional regulator, exoenzyme S synthesis regulatory protein ExsA	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa 	1_Soil_vs_RhizCom	RhizCom
4071.513825	2.671097289	0.788362074	3.388160563	0.000703631	0.000788563	fimA	Biofilm formation	fim	major type 1 subunit fimbrin (pilin)	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system 	1_Soil_vs_RhizCom	RhizCom
426.993037	9.814772354	1.314969043	7.46388092	8.40E-14	1.33E-13	fimH	Biofilm formation	fim	minor fimbrial subunit	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system 	1_Soil_vs_RhizCom	RhizCom
80.08876555	9.262128592	1.266820973	7.311316114	2.65E-13	4.11E-13	fimI	Biofilm formation	fim	fimbrial protein	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins	1_Soil_vs_RhizCom	RhizCom
47770.96166	2.593366471	0.185905823	13.94989371	3.15E-44	9.20E-44	fimV	Biofilm formation	fim	pilus assembly protein FimV	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Cell motility	1_Soil_vs_RhizCom	RhizCom
61.96354298	8.891964459	1.280716779	6.942959291	3.84E-12	5.66E-12	fimW	Biofilm formation	fim	fimbrial protein FimW	Not Included in Pathway or Brite	Unclassified: signaling and cellular processes	Cell motility	1_Soil_vs_RhizCom	RhizCom
350.6039557	3.714161312	0.415618884	8.936459474	4.02E-19	7.60E-19	fitD, mcf	Toxins	fit	insecticidal toxin	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
11551.29414	3.179989554	0.098187654	32.3868576	4.20E-230	5.25E-229	fitF	Toxins	fit	two-component system, sensor histidine kinase and response regulator FitF [EC:2.7.13.3]	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
8813.92725	4.307380886	0.554480898	7.768312497	7.95E-15	1.32E-14	fitG	Toxins	fit	LysR family transcriptional regulator, activator of insecticidal toxin	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
37.38319756	3.892387173	0.554550296	7.018997552	2.23E-12	3.33E-12	fitH	Toxins	fit	two-component system, response regulator FitH	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
103.6222218	3.624536826	0.440256827	8.232778233	1.83E-16	3.21E-16	flaE-A, flaE	Flagellum biosynthesis	fla	archaeal flagellar protein FlaE	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system 	1_Soil_vs_RhizCom	RhizCom
4627.757966	2.641772457	0.193405058	13.65927286	1.78E-42	5.06E-42	flaG	Flagellum biosynthesis	fla	flagellar protein FlaG	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins	1_Soil_vs_RhizCom	RhizCom
131.1956825	9.010053745	1.24303639	7.248423148	4.22E-13	6.49E-13	flaG-A, flaG	Flagellum biosynthesis	fla	archaeal flagellar protein FlaG	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system 	1_Soil_vs_RhizCom	RhizCom
191.8525184	2.747584074	0.399745592	6.873331768	6.27E-12	9.14E-12	flaH-A, flaH	Flagellum biosynthesis	fla	archaeal flagellar protein FlaH	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system 	1_Soil_vs_RhizCom	RhizCom
99.38541298	6.701748075	0.821648717	8.156463874	3.45E-16	6.00E-16	flaK-A, flaK	Flagellum biosynthesis	fla	archaeal preflagellin peptidase FlaK [EC:3.4.23.52]	Brite Hierarchies	Protein families: metabolism	Peptidases 	1_Soil_vs_RhizCom	RhizCom
29439.59926	2.586970259	0.078982408	32.75375267	2.68E-235	3.45E-234	flgA	Flagellum biosynthesis	flg	flagella basal body P-ring formation protein FlgA	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
29252.86928	3.064074417	0.200752382	15.26295419	1.35E-52	4.35E-52	flgF	Flagellum biosynthesis	flg	flagellar basal-body rod protein FlgF	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
31035.04744	2.58848361	0.088680727	29.18879568	2.69E-187	2.57E-186	flgH	Flagellum biosynthesis	flg	flagellar L-ring protein precursor FlgH	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
33124.25721	2.668678071	0.184339971	14.47693661	1.69E-47	5.15E-47	flgJ	Flagellum biosynthesis	flg	flagellar protein FlgJ	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins	1_Soil_vs_RhizCom	RhizCom
71796.16431	2.580162823	0.071578965	36.04638371	1.57E-284	2.61E-283	flgK	Flagellum biosynthesis	flg	flagellar hook-associated protein 1 FlgK	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
43913.44587	2.892884529	0.140943495	20.52513689	1.28E-93	6.09E-93	flgL	Flagellum biosynthesis	flg	flagellar hook-associated protein 3 FlgL	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
10760.75126	2.567429904	0.095060035	27.00851004	1.17E-160	9.48E-160	flgM	Flagellum biosynthesis	flg	negative regulator of flagellin synthesis FlgM	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
4484.528732	3.386760721	0.541593656	6.253324214	4.02E-10	5.45E-10	flgN	Flagellum biosynthesis	flg	flagella synthesis protein FlgN	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
9067.429895	3.778954268	0.478010101	7.905595011	2.67E-15	4.49E-15	flhC	Flagellum biosynthesis	flh	flagellar transcriptional activator FlhC	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
5890.231783	3.974899511	0.466122059	8.527593642	1.49E-17	2.71E-17	flhD	Flagellum biosynthesis	flh	flagellar transcriptional activator FlhD	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
29577.66038	2.965455643	0.257061238	11.53598911	8.69E-31	2.10E-30	flhF	Flagellum biosynthesis	flh	flagellar biosynthesis protein FlhF	Brite Hierarchies	Protein families: signaling and cellular processes	Bacterial motility proteins	1_Soil_vs_RhizCom	RhizCom
106400.9684	2.596002203	0.12942592	20.05782299	1.72E-89	7.87E-89	fliC	Flagellum biosynthesis	fli	flagellin	Environmental Information Processing	Signal transduction	Two-component system 	1_Soil_vs_RhizCom	RhizCom
47346.42847	2.782377066	0.152919544	18.19503896	5.65E-74	2.24E-73	fliD	Flagellum biosynthesis	fli	flagellar hook-associated protein 2	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
29452.79875	2.587030743	0.085166174	30.37627061	1.13E-202	1.18E-201	fliH	Flagellum biosynthesis	fli	flagellar assembly protein FliH	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
9916.804042	4.028596609	0.324944115	12.39781374	2.69E-35	6.99E-35	fliJ	Flagellum biosynthesis	fli	flagellar FliJ protein	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
28953.40717	4.068646381	0.261180845	15.57788962	1.03E-54	3.38E-54	fliK	Flagellum biosynthesis	fli	flagellar hook-length control protein FliK	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
14466.77939	2.874441571	0.130016182	22.10833709	2.63E-108	1.43E-107	fliS	Flagellum biosynthesis	fli	flagellar protein FliS	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
6690.280657	4.00964255	0.55622524	7.208667038	5.65E-13	8.64E-13	fliT	Flagellum biosynthesis	fli	flagellar protein FliT	Cellular Processes	Cell motility	Flagellar assembly 	1_Soil_vs_RhizCom	RhizCom
184.6549907	10.46740266	1.205695404	8.68163105	3.90E-18	7.18E-18	fliZ	Flagellum biosynthesis	fli	regulator of sigma S factor FliZ	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli 	1_Soil_vs_RhizCom	RhizCom
1653.872953	4.074908388	0.274650389	14.8367108	8.48E-50	2.65E-49	galD	Carbohydrate metabolism and transport	gal	galactose dehydrogenase [EC:1.1.1.48 1.1.1.120]	Metabolism	Carbohydrate metabolism	Galactose metabolism	1_Soil_vs_RhizCom	RhizCom
169.7044113	10.34561022	1.571409282	6.583650951	4.59E-11	6.46E-11	gatD	Carbohydrate metabolism and transport	gat	galactitol-1-phosphate 5-dehydrogenase [EC:1.1.1.251]	Metabolism	Carbohydrate metabolism	Galactose metabolism	1_Soil_vs_RhizCom	RhizCom
7962.414427	3.380706096	0.16226225	20.8348282	2.09E-96	1.02E-95	gluB	Amino acid metabolism and transport	glu	glutamate transport system substrate-binding protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
6164.787735	3.947523652	0.15498225	25.47081135	4.15E-143	2.97E-142	gluC	Amino acid metabolism and transport	glu	glutamate transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
7204.449246	3.978792235	0.160285175	24.82320805	5.04E-136	3.41E-135	gluD	Amino acid metabolism and transport	glu	glutamate transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
146.4821507	10.13340882	1.265533866	8.007220581	1.17E-15	2.00E-15	hasA	Iron acquisition	has	heme acquisition protein HasA	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
21573.60154	3.43491285	0.200240885	17.15390367	5.88E-66	2.15E-65	hasD, prtD, aprD	Iron acquisition	has	ATP-binding cassette, subfamily C, bacterial exporter for protease/lipase	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
9375.886816	4.300283804	0.346074239	12.42589976	1.89E-35	4.93E-35	hasE, prtE	Iron acquisition	has	membrane fusion protein, protease secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters 	1_Soil_vs_RhizCom	RhizCom
9555.697046	4.032048499	0.160226642	25.16465712	9.77E-140	6.79E-139	hasF, prtF	Iron acquisition	has	outer membrane protein, protease secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters 	1_Soil_vs_RhizCom	RhizCom
687.2528959	6.527735523	1.181799004	5.523558151	3.32E-08	4.20E-08	hasR	Iron acquisition	has	heme acquisition protein HasR	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
3516.518542	3.815429452	0.153649931	24.83196328	4.05E-136	2.75E-135	hcnA	Toxins	hcn	hydrogen cyanide synthase HcnA [EC:1.4.99.5]	Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism 	1_Soil_vs_RhizCom	RhizCom
4154.481788	4.26369529	0.140789179	30.28425425	1.85E-201	1.92E-200	hcnC	Toxins	hcn	hydrogen cyanide synthase HcnC [EC:1.4.99.5]	Metabolism	Metabolism of other amino acids	Cyanoamino acid metabolism 	1_Soil_vs_RhizCom	RhizCom
3699.515632	2.924923985	0.506577205	5.773895772	7.75E-09	1.00E-08	iucA	Amino acid metabolism and transport	iuc	N2-citryl-N6-acetyl-N6-hydroxylysine synthase [EC:6.3.2.38]	Metabolism	Amino acid metabolism	Lysine degradation	1_Soil_vs_RhizCom	RhizCom
2131.326073	4.834348267	0.262476465	18.41821615	9.38E-76	3.77E-75	iucB	Amino acid metabolism and transport	iuc	acetyl CoA:N6-hydroxylysine acetyl transferase [EC:2.3.1.102]	Metabolism	Amino acid metabolism	Lysine degradation	1_Soil_vs_RhizCom	RhizCom
13238.40419	4.270657928	0.340208283	12.55306863	3.82E-36	1.01E-35	iucC	Amino acid metabolism and transport	iuc	aerobactin synthase [EC:6.3.2.39]	Metabolism	Amino acid metabolism	Lysine degradation	1_Soil_vs_RhizCom	RhizCom
8915.721738	4.801186262	0.089205418	53.8216888	0	0	iucD	Amino acid metabolism and transport	iuc	lysine N6-hydroxylase [EC:1.14.13.59]	Metabolism	Amino acid metabolism	Lysine degradation	1_Soil_vs_RhizCom	RhizCom
2451.695776	7.767649812	1.64053291	4.734833274	2.19E-06	2.62E-06	lacA, lacB	Carbohydrate metabolism and transport	lac	galactose-6-phosphate isomerase [EC:5.3.1.26]	Metabolism	Carbohydrate metabolism	Galactose metabolism	1_Soil_vs_RhizCom	RhizCom
10954.25449	4.831720984	0.096130319	50.26219639	0	0	lacE, araN	Carbohydrate metabolism and transport	lac	lactose/L-arabinose transport system substrate-binding protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
7765.456609	4.600762106	0.090553403	50.80716952	0	0	lacF, araP	Carbohydrate metabolism and transport	lac	lactose/L-arabinose transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
6694.053476	5.868569381	0.136560451	42.97415043	0	0	lacG, araQ	Carbohydrate metabolism and transport	lac	lactose/L-arabinose transport system permease protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
22870.61402	4.052889043	0.06874892	58.95203916	0	0	lacK	Carbohydrate metabolism and transport	lac	lactose/L-arabinose transport system ATP-binding protein	Environmental Information Processing	Membrane transport	ABC transporters 	1_Soil_vs_RhizCom	RhizCom
31.6529823	2.508733603	0.433148558	5.791854916	6.96E-09	9.03E-09	lacS, galP, rafP	Carbohydrate metabolism and transport	lac	lactose/raffinose/galactose permease	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
7827.288501	5.404275674	0.706742761	7.646736507	2.06E-14	3.36E-14	lacY	Carbohydrate metabolism and transport	lac	MFS transporter, OHS family, lactose permease	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters	1_Soil_vs_RhizCom	RhizCom
